id,company,branch,role,interview_type,difficulty,topic,question,answer
78,Cisco,ECE,Embedded Engineer,HR,Easy,HR,Tell me about yourself.,"Summarize education, skills and goals."
79,NVIDIA,CSE,Software Engineer,Technical,Medium,Java,What is JVM?,Java Virtual Machine.
80,Cisco,CSE,ML Engineer,Technical,Medium,Python,What are decorators?,Functions that modify other functions.
81,Capgemini,CSE,Data Engineer,Technical,Medium,DBMS,What is a primary key?,A unique identifier for a row.
82,Accenture,CSE,Frontend Engineer,HR,Easy,HR,Tell me about yourself.,"Summarize education, skills and goals."
83,Infosys,CSE,Frontend Engineer,Technical,Medium,Node.js,What is npm?,Node package manager.
84,NVIDIA,ECE,FPGA Engineer,Technical,Hard,DSP,What is sampling theorem?,Sample at least twice highest frequency.
85,Paytm,CSE,Backend Engineer,Technical,Easy,Deep Learning,What is gradient descent?,Optimization algorithm.
86,Cisco,CSE,ML Engineer,Aptitude,Hard,Aptitude,What is 25% of 200?,50
87,Intel,CSE,Software Engineer,Aptitude,Easy,Aptitude,What is 25% of 200?,50
88,Intel,ECE,VLSI Engineer,Aptitude,Medium,Aptitude,What is 25% of 200?,50
89,Texas Instruments,ECE,Embedded Engineer,Technical,Easy,Verilog,What is an always block?,Defines procedural logic.
90,STMicroelectronics,ECE,Hardware Engineer,Technical,Easy,Verilog,Blocking vs non-blocking assignment?,= is blocking; <= is non-blocking.
91,HCL,CSE,AI Engineer,Technical,Hard,Computer Networks,Explain TCP handshake.,"SYN, SYN-ACK, ACK."
92,NVIDIA,ECE,FPGA Engineer,Technical,Hard,Signals,Energy vs power signal?,Classification by energy/power.
93,NVIDIA,CSE,Frontend Engineer,HR,Medium,HR,Why should we hire you?,Highlight relevant strengths.
94,Google,CSE,AI Engineer,Technical,Hard,JavaScript,Difference between let and var?,let is block scoped; var is function scoped.
95,Qualcomm,ECE,FPGA Engineer,Technical,Hard,Verilog,What is an always block?,Defines procedural logic.
96,TCS,CSE,Backend Engineer,Technical,Medium,Python,What are decorators?,Functions that modify other functions.
97,NVIDIA,ECE,Embedded Engineer,Technical,Medium,Embedded C,volatile keyword?,Prevents compiler optimization.
98,Microsoft,CSE,Data Engineer,Technical,Medium,JavaScript,What is closure?,Function with preserved lexical scope.
99,Texas Instruments,ECE,Electronics Engineer,Technical,Easy,Analog Electronics,What is feedback?,Feeds output back to input.
100,Infineon,ECE,FPGA Engineer,Technical,Easy,Communication Systems,What is modulation?,Encode information onto carrier.
101,Oracle,CSE,Frontend Engineer,Technical,Easy,DBMS,What is normalization?,Reduces redundancy in databases.
102,Siemens,ECE,Embedded Engineer,Technical,Hard,VHDL,What is architecture?,Defines implementation.
103,Bosch,ECE,Embedded Engineer,Technical,Easy,Digital Electronics,Difference between latch and flip-flop?,Latch is level-triggered; flip-flop is edge-triggered.
104,NXP,ECE,Hardware Engineer,HR,Easy,HR,Why should we hire you?,Highlight relevant strengths.
105,Flipkart,CSE,Frontend Engineer,Technical,Hard,Deep Learning,What is gradient descent?,Optimization algorithm.
106,Qualcomm,ECE,VLSI Engineer,Aptitude,Easy,Aptitude,A train travels 120 km in 2 hours. Speed?,60 km/h
107,Texas Instruments,ECE,VLSI Engineer,Technical,Easy,VHDL,What is an entity?,Defines module interface.
108,Samsung,ECE,VLSI Engineer,Technical,Medium,Verilog,What is an always block?,Defines procedural logic.
109,NXP,ECE,VLSI Engineer,Technical,Easy,Digital Electronics,Difference between latch and flip-flop?,Latch is level-triggered; flip-flop is edge-triggered.
110,Siemens,ECE,VLSI Engineer,Technical,Medium,Analog Electronics,What is an op-amp?,High-gain differential amplifier.
111,Bosch,ECE,VLSI Engineer,Technical,Medium,Verilog,Blocking vs non-blocking assignment?,= is blocking; <= is non-blocking.
112,Texas Instruments,ECE,FPGA Engineer,Technical,Medium,Signals,Energy vs power signal?,Classification by energy/power.
113,PhonePe,CSE,Data Engineer,Technical,Medium,Python,What are decorators?,Functions that modify other functions.
114,Siemens,ECE,Hardware Engineer,Technical,Medium,Embedded C,volatile keyword?,Prevents compiler optimization.
115,Infosys,CSE,Frontend Engineer,Technical,Easy,Deep Learning,What is CNN?,Convolutional Neural Network.
116,Texas Instruments,ECE,Hardware Engineer,Technical,Medium,Embedded C,volatile keyword?,Prevents compiler optimization.
117,Apple,CSE,Software Engineer,HR,Hard,HR,Tell me about yourself.,"Summarize education, skills and goals."
118,Texas Instruments,ECE,Electronics Engineer,Aptitude,Medium,Aptitude,A train travels 120 km in 2 hours. Speed?,60 km/h
119,NVIDIA,ECE,Electronics Engineer,Technical,Hard,Digital Electronics,What is a flip-flop?,A bistable storage element.
120,Analog Devices,ECE,FPGA Engineer,Technical,Hard,DSP,What is sampling theorem?,Sample at least twice highest frequency.
121,NVIDIA,CSE,Software Engineer,Aptitude,Hard,Aptitude,A train travels 120 km in 2 hours. Speed?,60 km/h
122,NXP,ECE,VLSI Engineer,Technical,Hard,Microcontrollers,What is an interrupt?,Interrupts normal execution to handle an event.
123,Bosch,ECE,Embedded Engineer,Technical,Easy,Communication Systems,What is modulation?,Encode information onto carrier.
124,Analog Devices,ECE,VLSI Engineer,Aptitude,Hard,Aptitude,What is 25% of 200?,50
125,Microsoft,CSE,Backend Engineer,Technical,Medium,JavaScript,Difference between let and var?,let is block scoped; var is function scoped.
126,Oracle,CSE,Frontend Engineer,Aptitude,Hard,Aptitude,What is 25% of 200?,50
127,HCL,CSE,Data Engineer,Technical,Hard,Operating Systems,What is deadlock?,Processes wait indefinitely for resources.
128,STMicroelectronics,ECE,Electronics Engineer,Technical,Easy,Signals,Energy vs power signal?,Classification by energy/power.
129,HCL,CSE,Frontend Engineer,Technical,Easy,Python,What are decorators?,Functions that modify other functions.
130,Infosys,CSE,Frontend Engineer,HR,Easy,HR,Tell me about yourself.,"Summarize education, skills and goals."
131,Siemens,ECE,Hardware Engineer,Technical,Easy,Microcontrollers,Difference between MCU and MPU?,MCU integrates CPU and peripherals.
132,Siemens,ECE,Embedded Engineer,Technical,Easy,VLSI,Setup vs hold time?,Timing constraints.
133,Infosys,CSE,AI Engineer,Technical,Easy,Operating Systems,What is deadlock?,Processes wait indefinitely for resources.
134,NVIDIA,ECE,FPGA Engineer,HR,Medium,HR,Tell me about yourself.,"Summarize education, skills and goals."
135,Qualcomm,ECE,Embedded Engineer,Technical,Medium,Signals,Energy vs power signal?,Classification by energy/power.
136,Texas Instruments,ECE,Embedded Engineer,Technical,Hard,Analog Electronics,What is an op-amp?,High-gain differential amplifier.
137,Accenture,CSE,Software Engineer,Technical,Easy,React,What are React hooks?,Functions for state and lifecycle in functional components.
138,Texas Instruments,ECE,FPGA Engineer,Technical,Hard,Signals,Energy vs power signal?,Classification by energy/power.
139,NVIDIA,ECE,VLSI Engineer,Technical,Hard,Embedded C,What is UART?,Serial communication protocol.
140,Qualcomm,ECE,Embedded Engineer,HR,Medium,HR,Tell me about yourself.,"Summarize education, skills and goals."
141,Cisco,CSE,Data Engineer,Technical,Hard,SQL,What is JOIN?,Combines rows from multiple tables.
142,Infosys,CSE,AI Engineer,Technical,Easy,Computer Networks,Explain TCP handshake.,"SYN, SYN-ACK, ACK."
143,Bosch,ECE,VLSI Engineer,Technical,Hard,Communication Systems,What is modulation?,Encode information onto carrier.
144,Infosys,CSE,AI Engineer,Technical,Medium,DBMS,What is a primary key?,A unique identifier for a row.
145,Adobe,CSE,ML Engineer,Technical,Medium,SQL,What is JOIN?,Combines rows from multiple tables.
146,Accenture,CSE,AI Engineer,Technical,Easy,Deep Learning,What is CNN?,Convolutional Neural Network.
147,Cognizant,CSE,Software Engineer,Technical,Hard,Machine Learning,What is overfitting?,Model memorizes training data.
148,Apple,CSE,Backend Engineer,Technical,Medium,System Design,What is caching?,Stores frequently accessed data.
149,Microsoft,CSE,Frontend Engineer,Technical,Easy,OOP,What is polymorphism?,Ability of an object to take many forms.
150,Infineon,ECE,Electronics Engineer,Technical,Easy,Analog Electronics,What is an op-amp?,High-gain differential amplifier.
151,TCS,CSE,Frontend Engineer,Technical,Hard,SQL,Difference between DELETE and TRUNCATE?,DELETE removes rows; TRUNCATE clears table efficiently.
152,HCL,CSE,Data Engineer,HR,Hard,HR,Tell me about yourself.,"Summarize education, skills and goals."
153,Intel,ECE,Electronics Engineer,Technical,Medium,FPGA,Why use FPGA?,Rapid prototyping and parallelism.
154,Qualcomm,ECE,Embedded Engineer,Technical,Medium,VHDL,What is an entity?,Defines module interface.
155,Paytm,CSE,Data Engineer,Technical,Easy,JavaScript,Difference between let and var?,let is block scoped; var is function scoped.
156,Google,CSE,Data Engineer,Technical,Medium,DBMS,What is a primary key?,A unique identifier for a row.
157,Analog Devices,ECE,FPGA Engineer,Technical,Easy,VHDL,What is an entity?,Defines module interface.
158,Microsoft,CSE,Software Engineer,Technical,Medium,Computer Networks,What is DNS?,Translates domain names to IP addresses.
159,Siemens,ECE,Embedded Engineer,Technical,Easy,Microcontrollers,Difference between MCU and MPU?,MCU integrates CPU and peripherals.
160,Cisco,ECE,Electronics Engineer,Technical,Hard,Microcontrollers,What is an interrupt?,Interrupts normal execution to handle an event.
161,Paytm,CSE,Frontend Engineer,Technical,Easy,Deep Learning,What is CNN?,Convolutional Neural Network.
162,Cisco,ECE,Electronics Engineer,Technical,Hard,VLSI,Setup vs hold time?,Timing constraints.
163,Infosys,CSE,Software Engineer,Technical,Medium,Deep Learning,What is CNN?,Convolutional Neural Network.
164,Intel,ECE,FPGA Engineer,Technical,Easy,Embedded C,volatile keyword?,Prevents compiler optimization.
165,Bosch,ECE,Hardware Engineer,Technical,Easy,Embedded C,What is UART?,Serial communication protocol.
166,Intel,ECE,FPGA Engineer,Technical,Hard,Communication Systems,What is modulation?,Encode information onto carrier.
167,Siemens,ECE,FPGA Engineer,Aptitude,Medium,Aptitude,What is 25% of 200?,50
168,NVIDIA,ECE,Electronics Engineer,Technical,Medium,VLSI,What is CMOS?,Complementary MOS technology.
169,Cognizant,CSE,Backend Engineer,Technical,Medium,Machine Learning,Bias vs variance?,Tradeoff between underfitting and overfitting.
170,NVIDIA,CSE,Software Engineer,Technical,Hard,JavaScript,What is closure?,Function with preserved lexical scope.
171,Samsung,ECE,FPGA Engineer,Technical,Easy,Signals,What is Fourier Transform?,Converts time to frequency domain.
172,Wipro,CSE,Frontend Engineer,Coding,Easy,DSA,What is a stack?,A LIFO data structure.
173,NXP,ECE,Electronics Engineer,HR,Easy,HR,Tell me about yourself.,"Summarize education, skills and goals."
174,HCL,CSE,Software Engineer,Technical,Easy,Java,What is JVM?,Java Virtual Machine.
175,Bosch,ECE,Electronics Engineer,Technical,Easy,Analog Electronics,What is an op-amp?,High-gain differential amplifier.
176,Analog Devices,ECE,FPGA Engineer,Technical,Hard,Embedded C,What is UART?,Serial communication protocol.
177,Intel,ECE,VLSI Engineer,Technical,Medium,VLSI,What is CMOS?,Complementary MOS technology.
178,Infosys,CSE,Backend Engineer,Technical,Hard,Python,Difference between list and tuple?,Lists are mutable; tuples are immutable.
179,HCL,CSE,ML Engineer,Technical,Medium,Machine Learning,Bias vs variance?,Tradeoff between underfitting and overfitting.
180,IBM,CSE,Software Engineer,Coding,Easy,DSA,What is a stack?,A LIFO data structure.
181,NVIDIA,ECE,FPGA Engineer,Technical,Hard,Analog Electronics,What is an op-amp?,High-gain differential amplifier.
182,NXP,ECE,Hardware Engineer,Technical,Hard,VLSI,What is CMOS?,Complementary MOS technology.
183,Siemens,ECE,Electronics Engineer,Technical,Easy,Analog Electronics,What is an op-amp?,High-gain differential amplifier.
184,Analog Devices,ECE,Hardware Engineer,Technical,Easy,FPGA,What is FPGA?,Programmable logic device.
185,Apple,CSE,Data Engineer,Coding,Hard,DSA,Explain binary search.,Searches a sorted array in O(log n).
186,Amazon,CSE,AI Engineer,Technical,Medium,DBMS,What is a primary key?,A unique identifier for a row.
187,Bosch,ECE,FPGA Engineer,Aptitude,Easy,Aptitude,A train travels 120 km in 2 hours. Speed?,60 km/h
188,NVIDIA,CSE,Data Engineer,Coding,Hard,DSA,Reverse a linked list.,Iteratively or recursively reverse pointers.
189,NXP,ECE,FPGA Engineer,Technical,Medium,VHDL,What is an entity?,Defines module interface.
190,Siemens,ECE,Electronics Engineer,Technical,Medium,DSP,What is sampling theorem?,Sample at least twice highest frequency.
191,NVIDIA,ECE,Hardware Engineer,Technical,Easy,Verilog,What is an always block?,Defines procedural logic.
192,HCL,CSE,Software Engineer,Technical,Hard,System Design,What is load balancing?,Distributes traffic across servers.
193,Analog Devices,ECE,VLSI Engineer,Technical,Hard,DSP,What is aliasing?,High frequencies appear lower due to undersampling.
194,Intel,ECE,Hardware Engineer,Technical,Medium,VLSI,What is CMOS?,Complementary MOS technology.
195,Capgemini,CSE,Frontend Engineer,Technical,Medium,SQL,Difference between DELETE and TRUNCATE?,DELETE removes rows; TRUNCATE clears table efficiently.
196,Wipro,CSE,AI Engineer,Technical,Medium,System Design,What is load balancing?,Distributes traffic across servers.
197,Intel,CSE,ML Engineer,Aptitude,Hard,Aptitude,What is 25% of 200?,50
198,Intel,CSE,AI Engineer,Technical,Medium,SQL,What is JOIN?,Combines rows from multiple tables.
199,Qualcomm,ECE,FPGA Engineer,Technical,Medium,Verilog,Blocking vs non-blocking assignment?,= is blocking; <= is non-blocking.
200,Accenture,CSE,Data Engineer,Technical,Hard,Computer Networks,What is DNS?,Translates domain names to IP addresses.
201,Intel,ECE,Electronics Engineer,Technical,Easy,Verilog,Blocking vs non-blocking assignment?,= is blocking; <= is non-blocking.
202,Samsung,ECE,Embedded Engineer,Technical,Medium,Verilog,What is an always block?,Defines procedural logic.
203,Intel,ECE,VLSI Engineer,Technical,Easy,Verilog,Blocking vs non-blocking assignment?,= is blocking; <= is non-blocking.
204,Infineon,ECE,Electronics Engineer,HR,Medium,HR,Why should we hire you?,Highlight relevant strengths.
205,Qualcomm,ECE,FPGA Engineer,Technical,Hard,Signals,What is Fourier Transform?,Converts time to frequency domain.
206,Flipkart,CSE,Data Engineer,Aptitude,Medium,Aptitude,A train travels 120 km in 2 hours. Speed?,60 km/h
207,Cisco,ECE,Hardware Engineer,Technical,Medium,VHDL,What is architecture?,Defines implementation.
208,Infosys,CSE,Frontend Engineer,Technical,Medium,React,What are React hooks?,Functions for state and lifecycle in functional components.
209,Microsoft,CSE,Data Engineer,Technical,Medium,Deep Learning,What is gradient descent?,Optimization algorithm.
210,Microsoft,CSE,ML Engineer,Technical,Easy,Python,Difference between list and tuple?,Lists are mutable; tuples are immutable.
211,Intel,ECE,FPGA Engineer,HR,Hard,HR,Why should we hire you?,Highlight relevant strengths.
212,NVIDIA,CSE,Backend Engineer,Technical,Medium,React,What is JSX?,JavaScript XML syntax.
213,Qualcomm,ECE,VLSI Engineer,Technical,Medium,FPGA,What is FPGA?,Programmable logic device.
214,Intel,CSE,Frontend Engineer,Technical,Medium,Python,Difference between list and tuple?,Lists are mutable; tuples are immutable.
215,Flipkart,CSE,Frontend Engineer,Technical,Medium,Node.js,What is Express?,A Node.js web framework.
216,Wipro,CSE,Backend Engineer,Technical,Hard,JavaScript,Difference between let and var?,let is block scoped; var is function scoped.
217,NXP,ECE,VLSI Engineer,Technical,Hard,Signals,What is Fourier Transform?,Converts time to frequency domain.
218,NXP,ECE,FPGA Engineer,Technical,Hard,Digital Electronics,Difference between latch and flip-flop?,Latch is level-triggered; flip-flop is edge-triggered.
219,Qualcomm,ECE,VLSI Engineer,Technical,Medium,Embedded C,volatile keyword?,Prevents compiler optimization.
220,Texas Instruments,ECE,Embedded Engineer,Technical,Medium,Verilog,What is an always block?,Defines procedural logic.
221,NVIDIA,ECE,VLSI Engineer,Technical,Hard,Signals,What is Fourier Transform?,Converts time to frequency domain.
222,Wipro,CSE,Data Engineer,Technical,Medium,Node.js,What is Express?,A Node.js web framework.
223,HCL,CSE,Software Engineer,Technical,Easy,React,What is JSX?,JavaScript XML syntax.
224,Google,CSE,AI Engineer,Technical,Medium,Machine Learning,Bias vs variance?,Tradeoff between underfitting and overfitting.
225,Intel,CSE,Software Engineer,Technical,Hard,Deep Learning,What is gradient descent?,Optimization algorithm.
226,Infineon,ECE,Embedded Engineer,Technical,Hard,Embedded C,What is UART?,Serial communication protocol.
227,Samsung,ECE,Electronics Engineer,Technical,Easy,VLSI,What is CMOS?,Complementary MOS technology.
228,Siemens,ECE,VLSI Engineer,Technical,Medium,VHDL,What is architecture?,Defines implementation.
229,Accenture,CSE,ML Engineer,Technical,Medium,JavaScript,Difference between let and var?,let is block scoped; var is function scoped.
230,Flipkart,CSE,Backend Engineer,Technical,Hard,JavaScript,Difference between let and var?,let is block scoped; var is function scoped.
231,Capgemini,CSE,Frontend Engineer,Technical,Easy,Deep Learning,What is CNN?,Convolutional Neural Network.
232,Analog Devices,ECE,Hardware Engineer,Technical,Medium,Analog Electronics,What is feedback?,Feeds output back to input.
233,Intel,ECE,Hardware Engineer,Technical,Easy,VHDL,What is architecture?,Defines implementation.
234,PhonePe,CSE,Data Engineer,Technical,Hard,JavaScript,What is closure?,Function with preserved lexical scope.
235,Wipro,CSE,Software Engineer,Technical,Medium,Operating Systems,Difference between process and thread?,Processes have separate memory; threads share memory.
236,Google,CSE,Backend Engineer,Technical,Easy,Machine Learning,What is overfitting?,Model memorizes training data.
237,Siemens,ECE,FPGA Engineer,Technical,Hard,Analog Electronics,What is an op-amp?,High-gain differential amplifier.
238,Texas Instruments,ECE,Embedded Engineer,Aptitude,Easy,Aptitude,What is 25% of 200?,50
239,Qualcomm,ECE,FPGA Engineer,Technical,Medium,Signals,What is Fourier Transform?,Converts time to frequency domain.
240,STMicroelectronics,ECE,FPGA Engineer,Technical,Hard,Signals,What is Fourier Transform?,Converts time to frequency domain.
241,Infineon,ECE,FPGA Engineer,Technical,Easy,Analog Electronics,What is an op-amp?,High-gain differential amplifier.
242,Adobe,CSE,Data Engineer,Aptitude,Easy,Aptitude,A train travels 120 km in 2 hours. Speed?,60 km/h
243,Samsung,ECE,VLSI Engineer,Technical,Hard,VLSI,Setup vs hold time?,Timing constraints.
244,Intel,ECE,Hardware Engineer,Technical,Hard,FPGA,Why use FPGA?,Rapid prototyping and parallelism.
245,NXP,ECE,Electronics Engineer,Aptitude,Hard,Aptitude,A train travels 120 km in 2 hours. Speed?,60 km/h
246,Microsoft,CSE,AI Engineer,Technical,Hard,React,What is JSX?,JavaScript XML syntax.
247,NXP,ECE,FPGA Engineer,Technical,Hard,Analog Electronics,What is feedback?,Feeds output back to input.
248,Infosys,CSE,Frontend Engineer,Technical,Hard,Operating Systems,Difference between process and thread?,Processes have separate memory; threads share memory.
249,Samsung,ECE,FPGA Engineer,Technical,Easy,Embedded C,What is UART?,Serial communication protocol.
250,Cisco,ECE,Embedded Engineer,Aptitude,Easy,Aptitude,What is 25% of 200?,50
251,STMicroelectronics,ECE,Embedded Engineer,Technical,Hard,Communication Systems,What is modulation?,Encode information onto carrier.
252,Texas Instruments,ECE,Hardware Engineer,Aptitude,Medium,Aptitude,A train travels 120 km in 2 hours. Speed?,60 km/h
253,Samsung,ECE,Embedded Engineer,Technical,Hard,Digital Electronics,What is a flip-flop?,A bistable storage element.
