Company,Role,Job Type,Eligible Branches,Minimum CGPA,Location,CTC (LPA),Stipend (Monthly INR),Required Skills,Selection Process
Samsung R&D,Software Development Engineer,FTE,"COE,COPC,ECE,EIC,EEC",7.0,Hyderabad,42.74,30000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
PhonePe,Business Analyst,FTE,B.E. All Branches,9.0,Pune,14.54,25000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
Capgemini,Backend Engineer,Intern+FTE,"COE,COPC,ECE",7.0,Pune,53.01,60000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
Maq Software,DevOps Engineer,FTE,"COE,COPC,COBS",6.0,Hyderabad,55.6,150000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Accenture,Data Scientist,Intern,"COE,COPC",8.5,Remote,18.93,50000,"Python, Pandas, NumPy, Machine Learning, Statistics, Scikit-learn, SQL, Matplotlib",Online Assessment -> Technical Interview -> HR Interview
Atlassian,DevOps Engineer,Intern+FTE,"COE,COPC,ECE,ENC",8.0,Mumbai,33.35,100000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
American Express,DevOps Engineer,FTE,"COE,COPC,COBS",8.5,Chennai,46.78,50000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
EPAM,DevOps Engineer,Intern+FTE,"COE,COPC",7.0,Bengaluru,30.38,50000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Apple,DevOps Engineer,Intern,"COE,COPC,ECE",6.0,Bengaluru,39.31,30000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Zomato,Backend Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE",8.0,Pune,33.76,60000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
Dell,Cybersecurity Analyst,Intern+Performance Based Chance of FTE,"COE,COPC,COBS",6.5,Hyderabad,37.12,50000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Salesforce,QA Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,COBS",9.0,Bengaluru,29.28,80000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Siemens,QA Engineer,Intern,"COE,COPC,COBS",8.5,Chennai,59.14,30000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Salesforce,Full Stack Developer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE",7.5,Pune,16.35,125000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Razorpay,Cloud Engineer,Intern+Performance Based Chance of FTE,B.E. All Branches,6.0,Bengaluru,19.49,30000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
Intel,DevOps Engineer,Intern+FTE,"COE,COPC,ECE",7.5,Remote,51.15,30000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
TCS,Full Stack Developer,Intern+FTE,"COE,COPC,COBS",6.0,Mumbai,52.69,25000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
BlackRock,Cloud Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE",6.5,Gurugram,21.4,125000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
American Express,Software Development Engineer,Intern,"COE,COPC,ECE,EIC,EEC",7.0,Bengaluru,37.28,125000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
Adobe,Cybersecurity Analyst,Intern+FTE,"COE,COPC",8.0,Hyderabad,31.75,125000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Nutanix,Backend Engineer,Intern+Performance Based Chance of FTE,"COE,COPC",8.0,Noida,38.13,50000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
Apple,Cybersecurity Analyst,FTE,"COE,COPC,ECE,ENC",6.5,Chennai,30.33,150000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Morgan Stanley,Data Scientist,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,ENC",9.0,Hyderabad,27.37,60000,"Python, Pandas, NumPy, Machine Learning, Statistics, Scikit-learn, SQL, Matplotlib",Online Assessment -> Technical Interview -> HR Interview
Microsoft,Cloud Engineer,Intern,B.E. All Branches,6.5,Gurugram,61.59,30000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
Uber,AI/ML Engineer,FTE,"COE,COPC,ECE",7.5,Gurugram,82.15,70000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
Expedia,QA Engineer,FTE,"COE,COPC,ECE,EIC,EEC",6.0,Pune,34.56,125000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
BlackRock,Backend Engineer,Intern+FTE,"COE,COPC,ECE,ENC",7.0,Noida,54.04,125000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
SAP,AI/ML Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,ENC",9.0,Bengaluru,16.99,60000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
Oracle,QA Engineer,Intern,"COE,COPC",7.0,Pune,28.87,60000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Cisco,Data Scientist,Intern+Performance Based Chance of FTE,B.E. All Branches,6.0,Hyderabad,14.73,100000,"Python, Pandas, NumPy, Machine Learning, Statistics, Scikit-learn, SQL, Matplotlib",Online Assessment -> Technical Interview -> HR Interview
Atlassian,Embedded Engineer,Intern+FTE,"COE,COPC,COBS",6.5,Bengaluru,60.46,70000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
Paytm,AI/ML Engineer,FTE,"COE,COPC,ECE",8.5,Noida,54.55,25000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
Qualcomm,Backend Engineer,Intern+Performance Based Chance of FTE,B.E. All Branches,8.5,Pune,25.1,125000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
Morgan Stanley,Frontend Engineer,Intern+Performance Based Chance of FTE,"COE,COPC",6.5,Chennai,58.72,40000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
Optum,QA Engineer,FTE,"COE,COPC,ECE",9.0,Hyderabad,52.66,50000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Deloitte,Software Development Engineer,Intern+FTE,"COE,COPC,COBS",7.0,Gurugram,52.36,50000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
Goldman Sachs,Full Stack Developer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,ENC",7.0,Hyderabad,7.28,50000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
BrowserStack,Data Scientist,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,EIC,EEC",9.0,Chennai,24.96,125000,"Python, Pandas, NumPy, Machine Learning, Statistics, Scikit-learn, SQL, Matplotlib",Online Assessment -> Technical Interview -> HR Interview
Google,Backend Engineer,FTE,"COE,COPC",6.0,Mumbai,41.98,150000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
IBM,Embedded Engineer,Intern,"COE,COPC,COBS",8.0,Noida,48.47,80000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
BlackRock,Software Development Engineer,Intern+FTE,"COE,COPC,ECE,ENC",7.5,Hyderabad,44.27,25000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
Qualcomm,AI/ML Engineer,FTE,B.E. All Branches,7.0,Mumbai,39.65,30000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
Swiggy,Business Analyst,Intern+FTE,"COE,COPC,ECE",7.5,Mumbai,43.65,125000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
Siemens,Embedded Engineer,FTE,"COE,COPC,COBS",8.0,Bengaluru,54.75,150000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
Paytm,Data Scientist,FTE,"COE,COPC,COBS",7.5,Remote,17.35,150000,"Python, Pandas, NumPy, Machine Learning, Statistics, Scikit-learn, SQL, Matplotlib",Online Assessment -> Technical Interview -> HR Interview
Siemens,Full Stack Developer,Intern,"COE,COPC,ECE,ENC",8.0,Chennai,33.6,40000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Oracle,Full Stack Developer,Intern+FTE,"COE,COPC,ECE",6.0,Bengaluru,42.33,50000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Morgan Stanley,Cloud Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,COBS",8.5,Noida,39.01,30000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
SAP,Embedded Engineer,Intern+FTE,"COE,COPC,ECE",8.5,Bengaluru,26.73,80000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
Tech Mahindra,Backend Engineer,Intern+FTE,"COE,COPC,ECE,EIC,EEC",8.0,Remote,48.03,50000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
Adobe,DevOps Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE",9.0,Remote,19.46,30000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Qualcomm,DevOps Engineer,FTE,"COE,COPC,COBS",8.0,Mumbai,59.35,150000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Samsung R&D,Cloud Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,ENC",9.0,Noida,54.45,100000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
Cisco,Data Scientist,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,EIC,EEC",6.5,Gurugram,47.35,125000,"Python, Pandas, NumPy, Machine Learning, Statistics, Scikit-learn, SQL, Matplotlib",Online Assessment -> Technical Interview -> HR Interview
EPAM,Backend Engineer,FTE,"COE,COPC,ECE,ENC",7.0,Hyderabad,44.53,50000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
Uber,Frontend Engineer,Intern,"COE,COPC,COBS",7.5,Chennai,70.11,50000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
Maq Software,Cloud Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,COBS",9.0,Bengaluru,28.45,50000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
Tech Mahindra,Cybersecurity Analyst,FTE,"COE,COPC,ECE,ENC",9.0,Mumbai,26.54,25000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Optum,DevOps Engineer,Intern+FTE,"COE,COPC,COBS",6.5,Gurugram,46.37,125000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Incedo,Cloud Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,EIC,EEC",6.5,Remote,7.57,70000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
Uber,Cybersecurity Analyst,Intern,"COE,COPC",8.5,Mumbai,83.95,150000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Uber,Cloud Engineer,Intern+FTE,"COE,COPC,COBS",7.0,Chennai,41.91,70000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
Tech Mahindra,Business Analyst,FTE,"COE,COPC",7.5,Bengaluru,21.03,80000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
HCLTech,DevOps Engineer,Intern+FTE,"COE,COPC,ECE,EIC,EEC",6.0,Bengaluru,8.81,70000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Tech Mahindra,Software Development Engineer,Intern,B.E. All Branches,6.5,Noida,57.28,50000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
Uber,Cloud Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,EIC,EEC",7.0,Chennai,61.66,50000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
Walmart Global Tech,Cybersecurity Analyst,Intern+FTE,"COE,COPC,ECE,ENC",6.0,Bengaluru,38.79,30000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Paytm,Cybersecurity Analyst,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,EIC,EEC",6.5,Hyderabad,42.58,80000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Apple,Embedded Engineer,Intern,B.E. All Branches,9.0,Bengaluru,40.79,60000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
IBM,DevOps Engineer,Intern,B.E. All Branches,8.5,Chennai,29.13,70000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Microsoft,Business Analyst,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,EIC,EEC",6.5,Mumbai,31.86,70000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
Nutanix,Embedded Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,COBS",7.5,Gurugram,34.17,60000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
Swiggy,Full Stack Developer,FTE,"COE,COPC,COBS",6.5,Remote,50.86,30000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
NVIDIA,Cybersecurity Analyst,FTE,"COE,COPC,ECE",7.5,Noida,46.87,100000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
IBM,Data Scientist,FTE,B.E. All Branches,6.0,Noida,24.38,150000,"Python, Pandas, NumPy, Machine Learning, Statistics, Scikit-learn, SQL, Matplotlib",Online Assessment -> Technical Interview -> HR Interview
Oracle,Full Stack Developer,Intern+FTE,"COE,COPC,ECE,EIC,EEC",7.5,Remote,44.88,100000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
EPAM,Software Development Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,EIC,EEC",6.5,Gurugram,11.02,50000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
Qualcomm,Cybersecurity Analyst,FTE,"COE,COPC,COBS",8.5,Chennai,25.93,125000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
IBM,Embedded Engineer,FTE,"COE,COPC,ECE",6.0,Noida,30.5,60000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
Swiggy,Backend Engineer,Intern+FTE,"COE,COPC,ECE",8.5,Remote,46.12,40000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
Razorpay,Embedded Engineer,FTE,"COE,COPC",9.0,Noida,37.84,125000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
PhonePe,Full Stack Developer,Intern,"COE,COPC,ECE,EIC,EEC",8.0,Pune,25.49,60000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Razorpay,Software Development Engineer,FTE,"COE,COPC,ECE,EIC,EEC",6.5,Remote,58.61,125000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
Salesforce,Software Development Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,COBS",7.0,Pune,37.0,100000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
Adobe,Data Scientist,Intern,"COE,COPC",7.5,Remote,56.82,100000,"Python, Pandas, NumPy, Machine Learning, Statistics, Scikit-learn, SQL, Matplotlib",Online Assessment -> Technical Interview -> HR Interview
Atlassian,Cybersecurity Analyst,FTE,"COE,COPC",6.5,Hyderabad,28.48,40000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Samsung R&D,Business Analyst,Intern+FTE,B.E. All Branches,7.5,Remote,38.74,150000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
EPAM,Data Scientist,FTE,B.E. All Branches,8.0,Bengaluru,52.45,80000,"Python, Pandas, NumPy, Machine Learning, Statistics, Scikit-learn, SQL, Matplotlib",Online Assessment -> Technical Interview -> HR Interview
Expedia,Embedded Engineer,Intern+FTE,"COE,COPC,ECE,ENC",8.5,Hyderabad,11.36,50000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
Walmart Global Tech,Full Stack Developer,Intern+FTE,"COE,COPC",7.5,Remote,15.39,30000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
AMD,Cybersecurity Analyst,Intern+FTE,"COE,COPC,ECE,ENC",8.5,Gurugram,31.38,25000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
AMD,Cloud Engineer,FTE,"COE,COPC,ECE,EIC,EEC",8.0,Noida,9.84,50000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
Incedo,Backend Engineer,FTE,"COE,COPC,ECE",6.0,Bengaluru,35.41,40000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
Walmart Global Tech,Data Scientist,FTE,"COE,COPC,COBS",6.0,Remote,38.13,150000,"Python, Pandas, NumPy, Machine Learning, Statistics, Scikit-learn, SQL, Matplotlib",Online Assessment -> Technical Interview -> HR Interview
AMD,Data Scientist,Intern+Performance Based Chance of FTE,"COE,COPC,COBS",6.0,Bengaluru,43.79,60000,"Python, Pandas, NumPy, Machine Learning, Statistics, Scikit-learn, SQL, Matplotlib",Online Assessment -> Technical Interview -> HR Interview
Incedo,Embedded Engineer,Intern,"COE,COPC",6.5,Bengaluru,23.41,60000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
Tech Mahindra,QA Engineer,Intern,"COE,COPC,ECE",7.5,Remote,50.36,150000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Razorpay,Frontend Engineer,Intern+Performance Based Chance of FTE,"COE,COPC",7.5,Chennai,59.84,80000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
Optum,AI/ML Engineer,Intern+FTE,"COE,COPC,ECE,ENC",7.5,Remote,23.34,30000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
PhonePe,QA Engineer,Intern,"COE,COPC,COBS",6.0,Chennai,57.04,125000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
BlackRock,AI/ML Engineer,Intern,"COE,COPC,ECE,EIC,EEC",9.0,Remote,12.26,80000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
Optum,Software Development Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,EIC,EEC",7.5,Bengaluru,16.13,70000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
American Express,Data Scientist,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,EIC,EEC",7.5,Hyderabad,35.66,60000,"Python, Pandas, NumPy, Machine Learning, Statistics, Scikit-learn, SQL, Matplotlib",Online Assessment -> Technical Interview -> HR Interview
Google,QA Engineer,FTE,B.E. All Branches,6.0,Mumbai,40.55,40000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Oracle,Full Stack Developer,Intern+Performance Based Chance of FTE,"COE,COPC",8.5,Pune,59.58,30000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Wipro,Embedded Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,COBS",7.5,Noida,21.76,60000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
Infosys,DevOps Engineer,Intern+FTE,"COE,COPC",7.0,Mumbai,13.81,50000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Zomato,DevOps Engineer,FTE,"COE,COPC,ECE,EIC,EEC",7.0,Remote,20.43,25000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Flipkart,Cloud Engineer,FTE,B.E. All Branches,9.0,Mumbai,35.08,70000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
Infosys,AI/ML Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE",9.0,Mumbai,52.96,50000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
Amazon,AI/ML Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,EIC,EEC",9.0,Pune,46.21,80000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
